yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202312,INFO,CARROCERO_UNMAPPED,BERGADANA,,registros_carrocero_sin_chasis_detectado,95,25,ampliar _CHASSIS_RULES o CARROCERO_BRANDS
202312,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,113,100,pool_b00d_private=1207; rate=0.0939
202312,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,111,100,pool_b00d_private=1938; rate=0.0573
